Message ID;Content_en;Content_de;Content_it;Content_nl;info;MPAM;weekly;daily;difficulty;purpose;activity;category
27;Take care of yourself so your health doesn't become a burden on other people.;Schau auf dich selbst, damit deine Gesundheit nicht zur Last für andere Menschen wird!;Prenditi cura di te stesso, in modo che la tua salute non diventi un peso per gli altri.;Zorg goed voor jezelf zodat je gezondheid geen last wordt voor andere mensen.;high;4;;high;;;;
29;Keep pushing. If you want to stay fit and grow old fit, now's the time to exercise regularly.;Bleib dran. Wenn du auch im Alter weiterhin fit sein möchstest, ist es jetzt an der Zeit, regelmäßig Sport zu treiben.;Continua ad allenarti. Se vuoi rimanere in forma nel passare degli anni, questo è il momento di allenarti regolarmente.;Blijf doorzetten. Als je fit wilt blijven en gezond oud wil worden dan moet je nu starten met dagelijks voldoende bewegen.;high;4;;high;;;;
30;You want to live a long life dont you? Then start exercising!;Du willst ein langes Leben führen, oder? Dann fang an zu trainieren!;Vorresti aumentare le tue aspettative di vita, giusto? Allora inzia a fare esercizio!;Je wilt toch lang en gezond leven? Start dan nu met bewegen!;high;4;;high;;;;
39;Find an exercise buddy and hold each other accountable.;Finde einen Übungspartner und motiviert euch gegenseitig.;Trova un compagno di allenamento e controllatevi a vicenda.;Zoek een beweegmaatje en houd elkaar verantwoordelijk;high;1;;high;;;;
75;What are the main reasons for not exercising? And what are the reasons why you actually should? Think about it and motivate yourself.;Was sind die Hauptgründe um nicht zu trainieren? Und was sind die Gründe, warum du eigentlich solltest? Denk darüber nach und die Gründe die dafür sprechen werden überwiegen.;Quali sono le ragioni principali per non fare esercizio? E quali sono le ragioni per le quali, invece, dovresti esercitarti? Riflettici e trova le tue motivazioni.;Wat zijn de belangrijkste redenen om niet te sporten? En wat zijn de redenen waarom je dat eigenlijk juist wel zou moeten doen? Denk erover na en motiveer jezelf.;high;0;;high;;;;
108;Once you really get into an exercise schedule, it just gets easier!;Sobald du einen Trainingsplan erstellt hast wird es einfacher!;Una volta che inizi davvero un programma di allenamento, diventa tutto più facile!;Als je eenmaal echt in je beweegroutine zit, dan wordt het alleen maar makkelijker!;high;0;;high;;;;
119;Aren't you willing to invest time in yourself so that as the years go by you can enjoy them?;Willst du nicht Zeit in dich selbst investieren damit du sie in Zukunfst auch genießen kannst?;Non sei disposto a investire tempo in te stesso in modo che con il passare degli anni tu possa goderne?;Ben je niet bereid om tijd in jezelf te investeren zodat je er in de loop der jaren van kunt genieten?;high;0;;high;;;;
122;You're not getting any younger, but you can feel like you are.;Du wirst nicht jünger, aber du kannst dich so fühlen als ob du es wärst.;Non stai ringiovanendo, ma puoi sentirti come se fosse così.;Je wordt niet jonger, maar je kunt je wel voelen alsof dat zo is.;high;0;;high;;;;
131;Choose fixed times to exercise to make it easier to stick to your regimen.;Wähle feste Trainingszeiten, damit du dich leichter an deinen Plan halten kannst.;Scegli dei tempi fissi per fare esercizio fisico, in modo che sia più facile mantenere un tuo regime.;Kies vaste tijden om te oefenen, zodat u zich gemakkelijker aan uw oefeningen kunt houden.;high;0;;high;;;;
132;Think of what you'll reward yourself with after this!;Überlege womit du dich danach belohnen wirst!;Pensa a ciò che otterrai grazie a questo!;Bedenk waarmee je jezelf hierna zult belonen!;high;0;;high;;;;
133;You owe it to your family and friends to take care of yourself.;Du bist es deiner Familie und  Freunden schuldig, auf dich selbst Acht zu geben.;Prenderti cura di te stesso/a è um impegno anche verso la tua famiglia e i tuoi amici;Je bent het aan je familie en vrienden verschuldigd om voor jezelf te zorgen.;high;0;;high;;;;
145;How would you feel in a year if you do not start to exercise now?;Wie wirst du dich in einem Jahr fühlen, wenn du jetzt nicht anfangst zu trainieren?;Come ti sentiresti tra un anno se non iniziassi ad allenarti ora?;Hoe zul je je over een jaar voelen als je nu niet begint met regelmatig bewegen?;low;3;;low;;;;
161;By exercising regularly your body is burning calories which in turn help you to lose weight. Losing weight has excellent benefits for your health such as lower risk of heart problems and a lower risk of diabetes.;Durch regelmäßiges Training verbrennt dein Körper Kalorien, die dir beim Abnehmen helfen. Abnehmen hat viele Vorteile für deine Gesundheit, darunter ein geringeres Risiko für Herzprobleme und ein geringeres Risiko für Diabetes!;Facendo esercizi regolarmente, il tuo corpo sta bruciando calorie che a loro volta ti aiutano a perdere peso. Perdere peso ha eccellenti benefici per la tua salute, come un minor rischio di problemi cardiaci e di diabete.;Door regelmatig te sporten verbrandt je lichaam calorieën wat je helpt om af te vallen. Afvallen heeft uitstekende voordelen voor uw gezondheid, zoals een lager risico op hartproblemen en diabetes.;low;3;;low;;;;
179;The longer you push exercise aside, the longer you are denying yourself a better quality of life.;Je länger du die Übung beiseite schiebst, desto länger verweigerst du dir selbst eine bessere Lebensqualität.;Più a lungo metterai da parte l'allenamento, più a lungo negerai a te stesso/a una migliore qualità di vita.;Hoe langer je lichaamsbeweging opzij schuift, hoe langer je jezelf een betere kwaliteit van leven ontzegt.;low;4;;low;;;;
197;Treat yourself right and let yourself experience the positive effects that physical exercise has on your life.;Gönn dir etwas Gutes und lasse dich von den positiven Auswirkungen körperlicher Bewegung auf dein Leben überzeugen.;Trattati bene e permetti a te stesso di sperimentare gli effetti positivi dell'esercizio fisico nella tua vita.;Wees goed voor jezelf en laat jezelf de positieve effecten ervaren die lichaamsbeweging op je leven heeft.;low;4;;low;;;;
200;With regular exercise the perception of your own body will constantly improve, and thereby you will achieve a better quality of life.;Durch regelmäßiges Training verbessert sich die Perzeption deines eigenen Körpers und du erreichst dadurch eine bessere Lebensqualität.;Con l'esercizio regolare, la percezione del tuo corpo migliorerà costantemente,e migliorerà di conseguenza la tua qualità di vita.;Door regelmatige lichaamsbeweging zal de perceptie van je eigen lichaam voortdurend verbeteren en daardoor zul je een betere kwaliteit van leven bereiken.;low;4;;low;;;;
221;Can you think of any positive consequences that regular exercise could have for you?;Kannst du dir positive Konsequenzen vorstellen, die regelmäßiges Training für dich haben könnten?;Puoi pensare ad ogni conseguenza positiva che l'attività fisica regolare può avere per te stesso?;Kun je positieve gevolgen voor jezelf bedenken van regelmatig bewegen?;low;0;;low;;;;
223;Just a short interval of exercise will help you to be less tired during the day.;Schon ein kurzes Trainingsintervall hilft dir, tagsüber weniger müde zu sein.;Anche un piccolo intervallo di allenamento, ti aiuterà a sentirti meno scanco/a durante il giorno.;Een korte beweegpauze zal je helpen om overdag minder moe te zijn.;low;0;;low;;;;
232;Even small amounts of exercise every day are shown to significantly reduce the risk of heart disease!;Selbst kleine Mengen an Bewegung pro Tag reduzieren nachweislich das Risiko für Herzerkrankungen erheblich!;E' stato dimostrato che, anche facendo un piaccola quantità di esercizi tutti i giorni, riduce significativamente il rischio di malattie cardiache!;Zelfs kleine hoeveelheden lichaamsbeweging per dag verminderen het risico op hartaandoeningen aanzienlijk!;low;0;;low;;;;
242;Being healthy is all about consistency, just make sure you don't give up.;Bei Gesundheit dreht sich alles um Beständigkeit, achte nur darauf, dass du nicht aufgibst.;Restare in salute è una questione di coerenza, non arrenderti.;Gezond zijn heeft alles te maken met consequent zijn, zorg er gewoon voor dat je niet opgeeft.;low;0;;low;;;;
